English,Hebrew
i ,אני
the ,ה
to ,ל
a ,א
s ,ס '
it ,זה
and ,ו
that ,זֶה
t ,t.
of ,שֶׁל
is ,הוא
in ,ב
what ,מה
we ,אָנוּ
me ,לִי
this ,זֶה
he ,הוא
for ,ל
my ,שֶׁלִי
on ,עַל
have ,יש
your ,שֶׁלְךָ
do ,לַעֲשׂוֹת
was ,היה
m ,M
no ,לא
not ,לֹא
be ,לִהיוֹת
are ,הם
don ,הם
re ,מִחָדָשׁ
know ,לָדַעַת
can ,פחית
with ,עם
but ,אבל
all ,את כל
so ,לכן
just ,רַק
there ,שם
here ,פה
they ,הֵם
like ,כמו
ll ,ll
get ,לקבל
she ,היא
go ,ללכת
if ,אם
right ,ימין
out ,הַחוּצָה
about ,על אודות
up ,לְמַעלָה
at ,בְּ-
him ,אוֹתוֹ
now ,עַכשָׁיו
oh ,ללא שם:
one ,אחד
come ,תבואו
well ,נו
her ,שֶׁלָה
how ,אֵיך
yeah ,כֵּן
ve ,ve
will ,רָצוֹן
got ,יש לך
want ,רוצה
think ,לַחשׁוֹב
as ,כפי ש
see ,לִרְאוֹת
did ,עשה
good ,טוֹב
who ,מי
why ,למה
from ,מ
let ,לתת
his ,שֶׁלוֹ
yes ,כן
when ,מתי
going ,הולך
time ,זְמַן
an ,א '
okay ,בסדר
back ,חזור
look ,תראה
us ,לָנוּ
would ,היה
them ,אוֹתָם
where ,איפה
were ,היו
take ,לקחת
then ,לאחר מכן
had ,היה
or ,אוֹ
been ,היה
our ,שֶׁלָנוּ
gonna ,עומד ל
tell ,לאמר
really ,בֶּאֱמֶת
man ,איש
some ,כמה
say ,אמר
hey ,היי
could ,הָיָה יָכוֹל
d ,ד '
didn ,didn
by ,על ידי
need ,צוֹרֶך
something ,משהו
has ,יש ל
too ,גַם
more ,יותר
way ,דֶרֶך
down ,מטה
make ,עשה
very ,מאוד
never ,לעולם לא
only ,רק
people ,אֲנָשִׁים
over ,על
because ,כי
little ,קטן
please ,אנא
love ,אהבה
should ,צריך
mean ,מתכוון
said ,אמר
sorry ,מצטער
give ,לָתֵת
off ,כבוי
am ,-
thank ,להודות
any ,כל
two ,שתיים
even ,אֲפִילוּ
much ,הַרבֵּה
doing ,מַעֲשֶׂה
sure ,בטוח
thing ,דָבָר
these ,אלה
help ,עֶזרָה
first ,ראשון
into ,לְתוֹך
anything ,כל דבר
still ,עוֹד
find ,למצוא
life ,חַיִים
nothing ,שום דבר
sir ,אֲדוֹנִי
day ,יְוֹם
god ,אלוהים
work ,עֲבוֹדָה
their ,שֶׁלָהֶם
uh ,אהיה
again ,שוב
maybe ,אולי
must ,צריך
before ,לפני
other ,אַחֵר
wait ,לַחֲכוֹת
stop ,תפסיק
call ,שִׂיחָה
after ,לאחר
won ,זכית
talk ,דבר
away ,רָחוֹק
than ,מאשר
thought ,מַחֲשָׁבָה
home ,בית
night ,לַיְלָה
put ,לָשִׂים
great ,גדול
those ,הָהֵן
last ,אחרון
better ,טוב יותר
everything ,הכל
told ,אמר
mr. ,אדון.
new ,חָדָשׁ
things ,חֶבֶר
always ,תמיד
keep ,לִשְׁמוֹר
long ,ארוך
years ,שנים
leave ,לעזוב
does ,עושה
money ,כֶּסֶף
around ,סְבִיב
doesn ,ללא שם:
name ,שֵׁם
place ,מקום
ever ,אֵיִ פַּעַם
feel ,להרגיש
guys ,הֹדֶן
father ,אַבָּא
guy ,בָּחוּר
made ,עָשׂוּי
old ,ישן
isn ,ISN.
which ,איזה
big ,גָדוֹל
lot ,מִגרָשׁ
done ,בוצע
hello ,שלום
nice ,נֶחְמָד
believe ,לְהֶאֱמִין
girl ,ילדה
someone ,מִישֶׁהוּ
fine ,בסדר גמור
thanks ,תודה
wanted ,מבוקש
kind ,סוג
coming ,מגיע
house ,בַּיִת
every ,כֹּל
ok ,בסדר
through ,דרך
being ,להיות
course ,קוּרס
stay ,שָׁהוּת
left ,שמאלה
dad ,אַבָּא
enough ,מספיק
happened ,קרה
came ,ב בא
may ,מאי
mother ,אִמָא
wrong ,שגוי
world ,עוֹלָם
bad ,רַע
might ,אולי
three ,שְׁלוֹשָׁה
today ,היום
listen ,להקשיב
another ,אַחֵר
understand ,מבינה
hear ,לִשְׁמוֹעַ
remember ,זכור
ask ,לִשְׁאוֹל
own ,שֶׁלוֹ
same ,אותו
show ,הופעה
else ,אַחֵר
kill ,לַהֲרוֹג
talking ,שִׂיחָה
found ,מצאתי
next ,הַבָּא
getting ,יֶתֶר
care ,לְטַפֵּל
car ,אוטו
looking ,מחפש
son ,בֵּן
try ,לְנַסוֹת
woman ,אִשָׁה
went ,הלך
hi ,היי
dead ,מֵת
many ,רב
mind ,אכפת
wasn ,היה
friend ,חבר
best ,הטוב ביותר
mom ,אִמָא
hell ,גֵיהִנוֹם
morning ,בוקר
trying ,מנסה
boy ,יֶלֶד
together ,יַחַד
yourself ,עַצמְךָ
job ,עבודה
saw ,ראה
family ,מִשׁפָּחָה
real ,אמיתי
without ,לְלֹא
baby ,תִינוֹק
room ,חֶדֶר
wouldn ,wouldn
already ,כְּבָר
move ,מהלך \ לזוז \ לעבור
most ,רוב
seen ,ראה
live ,לחיות
miss ,עלמה
actually ,בעצם
huh ,הא
shit ,לְחַרְבֵּן
both ,שניהם
heard ,שמע
once ,פַּעַם
ready ,מוּכָן
head ,רֹאשׁ
called ,שקוראים לו
used ,בשימוש
idea ,רַעְיוֹן
knew ,ידע
hold ,לְהַחזִיק
happy ,שַׂמֵחַ
door ,דלת
such ,כגון
fuck ,זִיוּן
brother ,אָח
also ,גַם
pretty ,יפה
bit ,סיביות
took ,לקח
haven ,מִקְלָט
yet ,עדיין
men ,גברים
whole ,כֹּל
start ,הַתחָלָה
use ,להשתמש
while ,בזמן
since ,מאז
wife ,אשה
days ,ימי
guess ,לְנַחֵשׁ
tomorrow ,מָחָר
matter ,חוֹמֶר
meet ,לִפְגוֹשׁ
bring ,לְהָבִיא
tonight ,היום בלילה
everyone ,כל אחד
run ,לָרוּץ
wanna ,רוצה
hard ,קָשֶׁה
ah ,ללא שם:
alone ,לבד
myself ,עצמי
school ,בית ספר
gone ,נלך
um ,אום
